Part No.,MODEL,S/N,配件,BIN ID,Status,狀態,借用人,"借用單
編號",出借人,借用日,到期日,入庫日期,備註,"最後
盤點日",Sales Requester,Purpose
VAT-20W2+,20dBm 衰減器,1227-05,,右1,S,4,,,,,,2012/9/19,,,AE Keep,
VAT-20W2+,20dBm 衰減器,1227-06,,右1,S,4,,,,,,2012/9/19,,,AE Keep,
VAT-30W2+,30dBm 衰減器,1228-01,,右1,S,4,,,,,,2012/9/19,,,AE Keep,
VAT-30W2+,30dBm 衰減器,1228-02,,右1,S,4,,,,,,2012/9/19,,,AE Keep,
VAT-30W2+,30dBm 衰減器,1228-03,,右1,S,4,,,,,,2012/9/19,,,AE Keep,
VAT-30W2+,30dBm 衰減器,1228-04,,右1,S,4,,,,,,2012/9/19,,,AE Keep,
VAT-30W2+,30dBm 衰減器,1228-05,,右1,S,4,,,,,,2012/9/19,,,AE Keep,
VAT-30W2+,30dBm 衰減器,1228-06,,右1,S,4,,,,,,2012/9/19,,,AE Keep,
749175-08,32 GB 2.5 in SATA Solid State Hard Drive Upgrade  ,SY820A0483,,FSE(M6)-Tom,V,4,,,,,,2008/8/22,,,,
782589-35,3D Machine Vision Library - ImagingLab,M76X70928,,鐵00,S,4,,,,,,2013/1/24,,,,
782589-35,3D Machine Vision Library - ImagingLab,M76X70926,,庫-FSE(N1)-Wayne,V,4,,,,,,2013/1/24,,,,
783174-01,3V GPS Antenna,16N42435,,F3-03,S,4,,,,,,2015/3/10,,2017/8/29,,
783174-01,3V GPS Antenna,16N42429,,F3-01,S,4,,,,,,2015/3/10,,2017/7/18,,
783305-01,"4.3"" TFT LCD Touch",1586,USB Cable,ME-Kevin,V,4,,,,,,2014/10/15,,2015/9/16,,
192395A-0R5,44-Pos D-SUB TO 37-Pos D-SUB,Cable 272,,右4,S,4,,,,,,"yhuang:
2006/3/29入庫(779166-01S/N:E3D798)
",,,,
155418-60,48V Cable for STS,1433-17605,,SEMI,V,2,Benson,,Vivian H,2017/12/28,,2017/2/17,,2017/12/28,,
783308-01,"48V Desktop Power Supply, 96-264VAC IN, +48VDC@.75A, 36W",36480-0000631,電源線*1(外購),E2,S,4,,,,,,2015/6/2,,2017/12/21,,
783480-01,5V GPS Antenna,086140005,,C1-34,S,4,,,,,,2015/2/26,,2017/8/11,,
783480-01,5V GPS Antenna,086140043,,C1-39,S,4,,,,,,2015/2/26,,2019/10/22,,
191834A-01,6542→DVI轉接盒,美國DVI-1,,美DVI,S,4,,,,,,,,,,
184703B-01,68M50F-SH,C8AA92,,B1-34,S,4,,,,,,,,2016/10/17,,
779612-01,7390 MITSUBISHI Accessory,7390AC1,,E6,S,4,,,,,,2005/11/21,,2019/6/12,,
779612-01,7390 MITSUBISHI Accessory,7390AC4,軸1壞了,E6,S,4,,,,,,2005/12/5,,,,
779612-01,7390 MITSUBISHI Accessory,7390AC5,,E6,S,4,,,,,,2005/12/5,,2019/4/16,,
779612-01,7390 MITSUBISHI Accessory,7390AC6,,E6,S,4,,,,,,2005/12/5,,,,
779612-01,7390 MITSUBISHI Accessory,7390AC7,,E6,S,4,,,,,,2005/12/5,,,,
779612-01,7390 MITSUBISHI Accessory,7390AC8,,E6,S,4,,,,,,2005/12/6,,,,
779612-01,7390 MITSUBISHI Accessory,7390AC9,,E6,S,4,,,,,,2005/12/6,,,,
779612-01,7390 MITSUBISHI Accessory,7390AC10,,E6,S,4,,,,,,2005/12/6,,,,
779612-01,7390 MITSUBISHI Accessory,7390AC11,,E6,S,4,,,,,,2005/12/6,,2016/11/30,,
189919-0R5,9-Pin DIN to two BNC(F),Cable 1073,,S4,V,4,,,,,,2012/1/31,,2019/1/17,,
189919-0R5,9-Pin DIN to two BNC(F),Cable 1074,,S4,V,4,,,,,,2012/1/31,,2014/1/16,,
783462-01,"Accessory Kit, cRIO DemoBox",HC2887697,,RAE(M10)-Harvey,V,4,,,,,,2016/12/21,,2017/1/16,,
783463-01,"Accessory Kit, Shoulder Strap for cRIO DemoBox",HB7990892,,RAE(M10)-Harvey,V,4,,,,,,2016/12/21,,2017/1/16,,
784799-01,PXIe MIL-STD-1553 Interface Module,1189B,,F1-51,L,10,凱茂科技／楊培霽,190911-135323,Frank,2019/9/11,2019/10/14,2017/11/30,,2019/1/17,,
784808-01,LFH Connector To TWO MALE-D-SUB Connectors,HC6734290,,FSE(M1)-Andrew,V,4,,,,,,2019/2/19,,2019/4/2,,
784807-01,LFH Connector To Four MIL-STD-1553 TWINAX AND ONE D-SUB,Cable 646,,右4,L,10,凱茂科技／楊培霽,190911-135323,Frank,2019/9/11,2019/10/14,2018/4/12,,2019/1/17,,
781186-01,ACX-1553(Single Channel 1553 PXI Interface Module from AIM),4118,"1.Cable*1
2.CD*2
3.Hardware Manual*1
4.Getting Started Manual*1
5.Quick Start Guide*1",庫-FSE(M1)-Andrew,V,10,凱茂科技／吳惠紋,191016-110211,Frank,2019/10/16,2019/11/18,2010/1/27,,2019/1/17,,
ADAM,ADAM-4520(RS-232 to RS-422/RS-485),IAA0304917,,左1,S,4,,,,,,,,2019/1/14,,
778713-01,Adapter Cable (Keyboard/Mouse),Cable 092,,右3,S,4,,,,,,,,,,
778713-01,Adapter Cable (Keyboard/Mouse),Cable 093,,右3,S,4,,,,,,2004/4/13,,,,
778713-01,Adapter Cable (Keyboard/Mouse),Cable 094,,右3,S,4,,,,,,2004/4/13,,,,
778713-01,Adapter Cable (Keyboard/Mouse),Cable 095,,右3,S,4,,,,,,2004/4/13,,,,
778713-01,Adapter Cable (Keyboard/Mouse),Cable 096,,右3,S,4,,,,,,,,,,
778713-01,Adapter Cable (Keyboard/Mouse),Cable 949,,FSE(S2)-Ronland,V,4,,,,,,2004/4/15,,,,
778713-01,"Adapter Cable PS2 to PS2
(Keyboard/Mouse)",N/A,,MDR-Sound+血糖,V,4,,,,,,,,,,
自製,ADC 待測物,DAC Test,,MDR-ADC+Streaming,V,4,,,,,,,,,,
"782026-01
(RL127-625NC)","Advanced Illumination RL127,Red Ring Light",35311058,,庫-FSE(N1)-Wayne,V,4,,,,,,2013/2/7,,,AE Keep,
3188012,Agilent PCI-GPIB,A2901623,,B4-52,S,4,,,,,,2006/10/20,,,,
781901-03,AIT MIL-STD-1553(含Calbe*1),AIT0319,"AIT#CBL-VHDCI-1553-4 Cable*1
Hardware Manual*1
Driver CD*1",C2,L,10,凱茂科技／楊培霽,190911-135323,Frank,2019/9/11,2019/10/14,2011/7/29,,2019/1/17,,
781532-01,"AKM12C-ANCNC-00 BLDC Motor with SFD, 4000RPM@160VDC, 1.08Nm ",111517227,,庫-FSE(N1)-Wayne,V,4,,,,,,2012/10/31,,2018/9/4,,
781533-01,"AKM12E-ANCNC-00 BLDC Motor with SFD, 8000RPM@160VDC, 0.91Nm",124920161,,SDR-ECAT,V,2,Harvey,,Vivian H,2015/9/8,,2013/7/3,,2015/9/8,,
